316.00,-564.00,-17520.00,-2288.00,1194.00,-1548.00
428.00,-540.00,-17388.00,-2304.00,1457.00,-1525.00
392.00,-708.00,-17472.00,-2288.00,1486.00,-1437.00
580.00,-904.00,-17364.00,-2272.00,1540.00,-1565.00
1248.00,-1156.00,-17172.00,-2304.00,1577.00,-1471.00
900.00,-1084.00,-17144.00,-2304.00,1567.00,-1088.00
1320.00,-576.00,-17248.00,-2288.00,1794.00,-1153.00
1424.00,-672.00,-17744.00,-2288.00,1580.00,-1155.00
1192.00,-1488.00,-18296.00,-2240.00,1940.00,-1002.00
1808.00,-1084.00,-17752.00,-2304.00,2524.00,-738.00
1880.00,-1068.00,-19200.00,-2272.00,2748.00,-798.00
-1672.00,-10268.00,-18796.00,-2288.00,-4311.00,6311.00
2016.00,4744.00,-18360.00,-2272.00,5286.00,-767.00
764.00,-2300.00,-19524.00,-2288.00,7810.00,929.00
1856.00,2248.00,-19292.00,-2272.00,9164.00,-2055.00
948.00,772.00,-18596.00,-2272.00,8790.00,-2568.00
392.00,328.00,-18136.00,-2272.00,10204.00,-4643.00
-872.00,-1536.00,-18128.00,-2288.00,11456.00,-3105.00
-324.00,-732.00,-18780.00,-2288.00,12346.00,161.00
-1864.00,2696.00,-14860.00,-2304.00,13478.00,3181.00
-4220.00,-5372.00,-17504.00,-2288.00,10090.00,11075.00
-2660.00,4192.00,-11600.00,-2224.00,15846.00,10709.00
528.00,-1568.00,-19752.00,-2272.00,17178.00,12777.00
548.00,1464.00,-15336.00,-2272.00,12725.00,7997.00
4412.00,140.00,-16736.00,-2272.00,11382.00,6552.00
4468.00,5156.00,-12524.00,-2304.00,7660.00,2967.00
3496.00,1604.00,-14976.00,-2304.00,6590.00,2390.00
1108.00,-2348.00,-15556.00,-2272.00,4889.00,1222.00
1380.00,-1976.00,-14736.00,-2272.00,4360.00,1770.00
888.00,-1536.00,-14428.00,-2304.00,3682.00,2649.00
1412.00,-1624.00,-14164.00,-2272.00,2888.00,4110.00
1544.00,-1776.00,-14356.00,-2272.00,1995.00,4321.00
